sku,front_image,back_image,card_number,name,set_name,rarity,condition_display,condition_assumption,variant_status,variant_1st_edition,variant_shadowless,variant_unlimited,variant_promo,variant_confidence,variant_note,lp_reference_price,ebay_price,listing_bucket,needs_review,method,first_edition_auto_score,first_edition_auto_template,first_edition_auto_crop
B01-C001,cards/binder_1/card_1_front.jpg,cards/binder_1/card_1_back.jpg,54/62,Shellder,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.1930,B01-C032,output/first_edition_review_crops_clean/B01-C001__Fossil__54_62__Shellder.jpg
B01-C002,cards/binder_1/card_2_front.jpg,cards/binder_1/card_2_back.jpg,39/75,Houndour,Neo Discovery,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,,NO,vision_full_card_api_validated,0.6068,B01-C057,output/first_edition_review_crops_clean/B01-C002__Neo Discovery__39_75__Houndour.jpg
B01-C003,cards/binder_1/card_3_front.jpg,cards/binder_1/card_3_back.jpg,54/82,Drowzee,Team Rocket,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2987,B01-C032,output/first_edition_review_crops_clean/B01-C003__Team Rocket__54_82__Drowzee.jpg
B01-C004,cards/binder_1/card_4_front.jpg,cards/binder_1/card_4_back.jpg,37/62,Graveler,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3084,B01-C032,output/first_edition_review_crops_clean/B01-C004__Fossil__37_62__Graveler.jpg
B01-C005,cards/binder_1/card_5_front.jpg,cards/binder_1/card_5_back.jpg,60/82,Magnemite,Team Rocket,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,-0.0841,B01-C110,output/first_edition_review_crops_clean/B01-C005__Team Rocket__60_82__Magnemite.jpg
B01-C006,cards/binder_1/card_6_front.jpg,cards/binder_1/card_6_back.jpg,37/62,Graveler,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2315,B01-C057,output/first_edition_review_crops_clean/B01-C006__Fossil__37_62__Graveler.jpg
B01-C007,cards/binder_1/card_7_front.jpg,cards/binder_1/card_7_back.jpg,53/102,Magnemite,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.0351,B01-C032,output/first_edition_review_crops_clean/B01-C007__Base__53_102__Magnemite.jpg
B01-C008,cards/binder_1/card_8_front.jpg,cards/binder_1/card_8_back.jpg,53/62,Psyduck,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,,NO,vision_full_card_api_validated,0.6759,B01-C032,output/first_edition_review_crops_clean/B01-C008__Fossil__53_62__Psyduck.jpg
B01-C009,cards/binder_1/card_9_front.jpg,cards/binder_1/card_9_back.jpg,53/102,Magnemite,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.0118,B01-C110,output/first_edition_review_crops_clean/B01-C009__Base__53_102__Magnemite.jpg
B01-C010,cards/binder_1/card_10_front.jpg,cards/binder_1/card_10_back.jpg,58/64,Oddish,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2593,B01-C032,output/first_edition_review_crops_clean/B01-C010__Jungle__58_64__Oddish.jpg
