sku,name,set_name,card_number,price,listing_bucket
B01-C001,Shellder,Fossil,54/62,0.00,bulk
B01-C002,Houndour,Neo Discovery,39/75,1.91,single_or_1st_ed_group
B01-C003,Drowzee,Team Rocket,54/82,0.00,bulk
B01-C004,Graveler,Fossil,37/62,0.00,bulk
B01-C005,Magnemite,Team Rocket,60/82,0.00,bulk
B01-C006,Graveler,Fossil,37/62,0.00,bulk
B01-C007,Magnemite,Base,53/102,0.48,bulk
B01-C008,Psyduck,Fossil,53/62,1.49,single_or_1st_ed_group
B01-C009,Magnemite,Base,53/102,0.48,bulk
B01-C010,Oddish,Jungle,58/64,0.00,bulk
B01-C011,Metapod,Base,54/102,0.63,bulk
B01-C012,Golbat,Fossil,34/62,0.00,bulk
B01-C013,Weedle,Base,69/102,0.40,bulk
B01-C014,Grimer,Fossil,48/62,0.00,bulk
B01-C015,Oddish,Jungle,58/64,0.00,bulk
B01-C016,Parasect,Jungle,41/64,0.00,bulk
B01-C017,Weepinbell,Jungle,48/64,0.00,bulk
B01-C018,Arbok,Fossil,31/62,0.00,bulk
B01-C019,Caterpie,Base,45/102,0.73,bulk
B01-C020,Meowth,Jungle,56/64,0.00,bulk
B01-C021,Cubone,Jungle,50/64,0.00,bulk
B01-C022,Cloyster,Fossil,32/62,0.00,bulk
B01-C023,Exeggcute,Jungle,52/64,0.00,bulk
B01-C024,Gloom,Jungle,37/64,0.00,bulk
B01-C025,Psyduck,Fossil,53/62,1.61,single_or_1st_ed_group
B01-C026,Horsea,Fossil,49/62,0.00,bulk
B01-C027,Haunter,Base,29/102,1.18,bulk
B01-C028,Jynx,Base,31/102,0.69,bulk
B01-C029,Bulbasaur,Base Set 2,67/130,3.07,small_lot_or_single
B01-C030,Golduck,Fossil,35/62,0.00,bulk
B01-C031,Geodude,Fossil,47/62,0.00,bulk
B01-C032,Weepinbell,Jungle,48/64,1.49,single_or_1st_ed_group
B01-C033,Oddish,Jungle,58/64,0.00,bulk
B01-C034,Oddish,Jungle,58/64,0.00,bulk
B01-C035,Ekans,Fossil,46/62,0.00,bulk
B01-C036,Cubone,Jungle,50/64,0.00,bulk
B01-C037,Meowth,Team Rocket,62/82,0.00,bulk
B01-C038,Caterpie,Base Set 2,68/130,0.50,bulk
B01-C039,Zubat,Fossil,57/62,0.00,bulk
B01-C040,Magikarp,Base,35/102,2.70,small_lot_or_single
B01-C041,Mankey,Team Rocket,61/82,0.00,bulk
B01-C042,Sandslash,Fossil,41/62,0.00,bulk
B01-C043,Krabby,Fossil,51/62,0.00,bulk
B01-C044,Magnemite,Base Set 2,79/130,0.34,bulk
B01-C045,Paras,Jungle,59/64,0.00,bulk
B01-C046,Paras,Jungle,59/64,1.49,single_or_1st_ed_group
B01-C047,Krabby,Fossil,51/62,0.00,bulk
B01-C048,Kabuto,Fossil,50/62,0.00,bulk
B01-C049,Bulbasaur,Base,44/102,1.72,bulk
B01-C050,Drowzee,Base,49/102,0.49,bulk
B01-C051,Grimer,Fossil,48/62,0.00,bulk
B01-C052,Nidoran ♀,Jungle,57/64,0.00,bulk
B01-C053,Squirtle,Base,63/102,7.18,single
B01-C054,Porygon,Base,39/102,1.85,bulk
B01-C055,Koffing,Base,51/102,0.55,bulk
B01-C056,Horsea,Fossil,49/62,0.00,bulk
B01-C057,Magmar,Fossil,39/62,1.49,single_or_1st_ed_group
B01-C058,Machop,Team Rocket,59/82,0.00,bulk
B01-C059,Caterpie,Base,45/102,0.73,bulk
B01-C060,Haunter,Base,29/102,1.18,bulk
B01-C061,Staryu,Base,65/102,0.43,bulk
B01-C062,Ponyta,Team Rocket,64/82,0.00,bulk
B01-C063,Doduo,Base,48/102,0.98,bulk
B01-C064,Grimer,Fossil,48/62,0.00,bulk
B01-C065,Weepinbell,Jungle,48/64,0.00,bulk
B01-C066,Eevee,Jungle,51/64,0.00,bulk
B01-C067,Paras,Jungle,59/64,0.00,bulk
B01-C068,Stantler,Neo Revelation,38/64,0.00,bulk
B01-C069,Horsea,Fossil,49/62,0.00,bulk
B01-C070,Slowpoke,Fossil,55/62,0.00,bulk
B01-C071,Exeggcute,Jungle,52/64,0.00,bulk
B01-C072,Ekans,Fossil,46/62,0.00,bulk
B01-C073,Krabby,Fossil,51/62,0.00,bulk
B01-C074,Jigglypuff,Base Set 2,77/130,0.53,bulk
B01-C075,Koffing,Base,51/102,0.55,bulk
B01-C076,Horsea,Fossil,49/62,0.00,bulk
B01-C077,Spearow,Jungle,62/64,0.00,bulk
B01-C078,Dratini,Base,26/102,1.68,bulk
B01-C079,Pidgey,Base,57/102,0.86,bulk
B01-C080,Sandslash,Fossil,41/62,0.00,bulk
B01-C081,Koffing,Base,51/102,0.55,bulk
B01-C082,Golduck,Fossil,35/62,0.00,bulk
