sku,front_image,back_image,card_number,name,set_name,rarity,condition_display,condition_assumption,variant_status,variant_1st_edition,variant_shadowless,variant_unlimited,variant_promo,variant_confidence,variant_note,lp_reference_price,ebay_price,listing_bucket,needs_review,method,first_edition_auto_score,first_edition_auto_template,first_edition_auto_crop,pricing_variant,pricing_search_query,tcgplayer_market_price,tcg_reference_note,ebay_sold_low,ebay_sold_mid,ebay_sold_high,chosen_price,pricing_notes,listing_title,listing_description,comp_titles,comp_prices
B01-C001,cards/binder_1/card_1_front.jpg,cards/binder_1/card_1_back.jpg,54/62,Shellder,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.1930,B01-C032,output/first_edition_review_crops_clean/B01-C001__Fossil__54_62__Shellder.jpg,Unlimited,Pokemon Shellder 54/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Shellder 54/62 Fossil LP/MP,"Shellder 54/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C002,cards/binder_1/card_2_front.jpg,cards/binder_1/card_2_back.jpg,39/75,Houndour,Neo Discovery,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6068,B01-C057,output/first_edition_review_crops_clean/B01-C002__Neo Discovery__39_75__Houndour.jpg,1st Edition,Pokemon Houndour 39/75 Neo Discovery 1st Edition MP,,,1.00,1.91,2.69,1.91,APIFY_SOLD_COMPS_PRIORITY_CARD,Pokemon Houndour 39/75 Neo Discovery 1st Edition LP/MP,"Houndour 39/75 from Neo Discovery.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",2001 Pokemon #39/75 Houndour (Neo Discovery) LP || 2001 Pokemon #39/75 Houndour (Neo Discovery) LP || 2001 Pokemon #39/75 Houndour (Neo Discovery) NM || HOUNDOUR POKEMON NEO DISCOVERY 39/75 UNCOMMON MP UNLIMITED || Houndour 39/75 Unlimited: Neo Discovery Pokemon TCG Light Play || POKEMON NEO DISCOVERY HOUNDOUR 39/75 UNCOMMON UNLIMITED NM -j || Pokemon Neo Discovery Set - Choose Your Card! All Pokemon Available! || Houndour 39/75 Neo Discovery Pokemon Card || Houndour 39/75 Uncommon Neo Discovery Pokemon Unlimited Near Mint || Pokemon Card - Pupitar Neo Discovery 1st Edition 45/75 Uncommon,1.00 | 1.25 | 1.50 | 1.99 | 1.99 | 1.99 | 1.99 | 2.25 | 2.49 | 2.69
B01-C003,cards/binder_1/card_3_front.jpg,cards/binder_1/card_3_back.jpg,54/82,Drowzee,Team Rocket,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2987,B01-C032,output/first_edition_review_crops_clean/B01-C003__Team Rocket__54_82__Drowzee.jpg,Unlimited,Pokemon Drowzee 54/82 Team Rocket Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Drowzee 54/82 Team Rocket LP/MP,"Drowzee 54/82 from Team Rocket.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C004,cards/binder_1/card_4_front.jpg,cards/binder_1/card_4_back.jpg,37/62,Graveler,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.3084,B01-C032,output/first_edition_review_crops_clean/B01-C004__Fossil__37_62__Graveler.jpg,Unlimited,Pokemon Graveler 37/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Graveler 37/62 Fossil LP/MP,"Graveler 37/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C005,cards/binder_1/card_5_front.jpg,cards/binder_1/card_5_back.jpg,60/82,Magnemite,Team Rocket,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,-0.0841,B01-C110,output/first_edition_review_crops_clean/B01-C005__Team Rocket__60_82__Magnemite.jpg,Unlimited,Pokemon Magnemite 60/82 Team Rocket Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Magnemite 60/82 Team Rocket LP/MP,"Magnemite 60/82 from Team Rocket.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C006,cards/binder_1/card_6_front.jpg,cards/binder_1/card_6_back.jpg,37/62,Graveler,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2315,B01-C057,output/first_edition_review_crops_clean/B01-C006__Fossil__37_62__Graveler.jpg,Unlimited,Pokemon Graveler 37/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Graveler 37/62 Fossil LP/MP,"Graveler 37/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C007,cards/binder_1/card_7_front.jpg,cards/binder_1/card_7_back.jpg,53/102,Magnemite,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk,NO,vision_full_card_api_validated,0.0351,B01-C032,output/first_edition_review_crops_clean/B01-C007__Base__53_102__Magnemite.jpg,Unlimited,Pokemon Magnemite 53/102 Base Unlimited MP,0.68,TCGPLAYER_MARKET,,,,0.48,TCG_API_REFERENCE_ESTIMATE_70_PERCENT_FOR_LP_MP,Pokemon Magnemite 53/102 Base LP/MP,"Magnemite 53/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C008,cards/binder_1/card_8_front.jpg,cards/binder_1/card_8_back.jpg,53/62,Psyduck,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6759,B01-C032,output/first_edition_review_crops_clean/B01-C008__Fossil__53_62__Psyduck.jpg,1st Edition,Pokemon Psyduck 53/62 Fossil 1st Edition MP,,,0.73,1.48,2.15,1.49,APIFY_SOLD_COMPS_PRIORITY_CARD,Pokemon Psyduck 53/62 Fossil 1st Edition LP/MP,"Psyduck 53/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || Pokemon Psyduck (53/65) Fossil MP || Psyduck 53/62 Fossil Regular WOTC MP || PSYDUCK - 53/62 - FOSSIL - - MP || Pokémon TCG Psyduck Fossil 1st Edition 53/62 Basic 50 HP Common Regular English || Pokemon TCG Psyduck Fossil Common 53/62 Unlimited || Pokemon TCG Psyduck Fossil Common 53/62 Unlimited || Pokémon Psyduck Fossil 1st Edition Common Regular 53/62 50 HP Basic Card || Psyduck 53/62 Fossil Pokemon Unlimited Lightly Played || Psyduck ~ 1st Edition Fossil Set 53/62 Pokémon TCG 🦆,0.73 | 0.99 | 0.99 | 1.25 | 1.25 | 1.71 | 1.71 | 1.99 | 1.99 | 2.15
B01-C009,cards/binder_1/card_9_front.jpg,cards/binder_1/card_9_back.jpg,53/102,Magnemite,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk,NO,vision_full_card_api_validated,0.0118,B01-C110,output/first_edition_review_crops_clean/B01-C009__Base__53_102__Magnemite.jpg,Unlimited,Pokemon Magnemite 53/102 Base Unlimited MP,0.68,TCGPLAYER_MARKET,,,,0.48,TCG_API_REFERENCE_ESTIMATE_70_PERCENT_FOR_LP_MP,Pokemon Magnemite 53/102 Base LP/MP,"Magnemite 53/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C010,cards/binder_1/card_10_front.jpg,cards/binder_1/card_10_back.jpg,58/64,Oddish,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2593,B01-C032,output/first_edition_review_crops_clean/B01-C010__Jungle__58_64__Oddish.jpg,Unlimited,Pokemon Oddish 58/64 Jungle Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Oddish 58/64 Jungle LP/MP,"Oddish 58/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
