sku,front_image,back_image,card_number,name,set_name,rarity,condition_display,condition_assumption,variant_status,variant_1st_edition,variant_shadowless,variant_unlimited,variant_promo,variant_confidence,variant_note,lp_reference_price,ebay_price,listing_bucket,needs_review,method,first_edition_auto_score,first_edition_auto_template,first_edition_auto_crop,pricing_variant,pricing_search_query,ebay_sold_low,ebay_sold_mid,ebay_sold_high,chosen_price,pricing_notes,listing_title,listing_description,comp_titles,comp_prices
B01-C187,cards/binder_1/card_187_front.jpg,cards/binder_1/card_187_back.jpg,32/62,Cloyster,Fossil,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.7430,B01-C110,output/first_edition_review_crops_clean/B01-C187__Fossil__32_62__Cloyster.jpg,1st Edition,Pokemon Cloyster 32/62 Fossil 1st Edition MP,0.73,0.98,1.09,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Cloyster 32/62 Fossil 1st Edition LP/MP Vintage WOTC,"Cloyster 32/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.","Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || CLOYSTER 32/62 1st Edition Fossil Set Vintage WoTC Pokémon TCG MP Uncommon || Pokémon 1999 NM 1ST EDITION FOSSIL SET PICK YOUR CARDS || FOSSIL Set - Pick / Choose the Card - Pokémon TCG WOTC -1st Ed, Unlimited, Holo || Pokemon TCG Cloyster Fossil Uncommon 32/62 Unlimited || Cloyster 32/62 Uncommon Fossil Pokemon Lightly Played || Cloyster Uncommon Fossil 32/62 NM || (2) Cloyster 32/62 Fossil Regular - NM - US Seller || Pokémon TCG 1999 1st Edition Fossil - You Pick - Excellent/Near Mint or Better || Pokemon Cloyster Fossil vintage card #32/62 Wotc 1999",0.73 | 0.99 | 0.99 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.09
B01-C174,cards/binder_1/card_174_front.jpg,cards/binder_1/card_174_back.jpg,46/62,Ekans,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6177,B01-C110,output/first_edition_review_crops_clean/B01-C174__Fossil__46_62__Ekans.jpg,1st Edition,Pokemon Ekans 46/62 Fossil 1st Edition MP,0.73,1.22,1.98,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Ekans 46/62 Fossil 1st Edition LP/MP Vintage WOTC,"Ekans 46/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || 1999 - Pokemon TCG - Fossil Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || Ekans 46/62 Fossil 1st Edition Pokemon Card || Pokémon TCG 1999 1st Edition Fossil - You Pick - Excellent/Near Mint or Better || 1999 Pokemon Fossil 1st Edition Ekans #46 || 1999 POKEMON FOSSIL 1ST EDITION EKANS #46/62 || EKANS 1999 POKEMON FOSSIL 1ST EDITION COMMON F 46/62 Q2045 || POKEMON - WOTC - FOSSIL UNLIMITED - PICK YOUR CARDS || 1st Edition Ekans 46/62 Fossil Set WOTC Vintage Pokemon Card Common NM || Pokemon TCG Ekans 46/62 Common Fossil 1st Edition MP,0.73 | 0.99 | 1.00 | 1.00 | 1.00 | 1.25 | 1.25 | 1.28 | 1.74 | 1.98
B02-C059,cards/binder_2/card_59_front.jpg,cards/binder_2/card_59_back.jpg,46/62,Ekans,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,fixed_from_saved_vision_or_visual_confirmation,0.8091,B01-C110,output/first_edition_review_crops_clean/B02-C059__Fossil__46_62__Ekans.jpg,1st Edition,Pokemon Ekans 46/62 Fossil 1st Edition MP,0.73,1.51,2.20,1.51,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Ekans 46/62 Fossil 1st Edition LP/MP Vintage WOTC,"Ekans 46/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || 1999 - Pokemon TCG - Fossil Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || Ekans 46/62 Fossil 1st Edition Pokemon Card || Pokémon TCG 1999 1st Edition Fossil - You Pick - Excellent/Near Mint or Better || 1999 POKEMON FOSSIL 1ST EDITION EKANS #46/62 || 1st Edition Ekans 46/62 Fossil Set WOTC Vintage Pokemon Card Common NM || Pokemon TCG Ekans 46/62 Common Fossil 1st Edition MP || Ekans 46/62 Common Fossil Pokemon 1st Edition Lightly Played || Ekans Common 1st Edition Fossil 46/62 HP Pokémon TCG || Ekans 46/62 Common Fossil Pokemon Near Mint,0.73 | 0.99 | 1.00 | 1.00 | 1.25 | 1.74 | 1.98 | 1.99 | 2.19 | 2.20
B01-C163,cards/binder_1/card_163_front.jpg,cards/binder_1/card_163_back.jpg,47/62,Geodude,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6106,B01-C032,output/first_edition_review_crops_clean/B01-C163__Fossil__47_62__Geodude.jpg,1st Edition,Pokemon Geodude 47/62 Fossil 1st Edition MP,0.73,0.96,1.00,1.49,9 cleaned raw sold comps; removed comps under $0.50.,Pokemon Geodude 47/62 Fossil 1st Edition LP/MP Vintage WOTC,"Geodude 47/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokémon  - Geodude - Fossil - Common || Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || Fossil #47/62 Geodude || Geodude 47/62 Common Fossil Pokemon Heavily Played || Pokemon Card Fossil Geodude 47/62 Common || 1999 - Pokemon TCG - Fossil Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || Pokémon 1999 NM 1ST EDITION FOSSIL SET PICK YOUR CARDS || Geodude Fossil Base Set 47/62 Common Pokemon Card NM || Geodude 47/62 Fossil 1st Edition Pokemon Card || Pokémon TCG Geodude 47/62 Fossil 1st Edition Regular 50 HP Common Stone Barrage,0.12 | 0.73 | 0.99 | 0.99 | 0.99 | 0.99 | 0.99 | 0.99 | 1.00 | 1.00
B01-C057,cards/binder_1/card_57_front.jpg,cards/binder_1/card_57_back.jpg,39/62,Magmar,Fossil,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,1.0000,B01-C057,output/first_edition_review_crops_clean/B01-C057__Fossil__39_62__Magmar.jpg,1st Edition,Pokemon Magmar 39/62 Fossil 1st Edition MP,0.99,1.18,1.50,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Magmar 39/62 Fossil 1st Edition LP/MP Vintage WOTC,"Magmar 39/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon Magmar 39/62 1st Edition Fossil NM WOTC 1999 || 1999 - Pokemon TCG - Fossil Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || Pokémon 1999 NM 1ST EDITION FOSSIL SET PICK YOUR CARDS || 1999 Pokemon Fossil Magmar #39 VLP || Pokémon TCG 1999 1st Edition Fossil - You Pick - Excellent/Near Mint or Better || Magmar Uncommon Fossil 39/62 NM || Magmar [LP] - Pokemon TCG Fossil 39/62 [Uncommon] || Pokemon Magmar 39/62 Fossil Regular - LP || Magmar 39/62 Unlimited Uncommon Fossil || MAGMAR - 39/62 - Fossil - Pokemon Card,0.99 | 0.99 | 0.99 | 1.00 | 1.00 | 1.00 | 1.37 | 1.49 | 1.50 | 1.50
B02-C225,cards/binder_2/card_225_front.jpg,cards/binder_2/card_225_back.jpg,40/62,Omastar,Fossil,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6130,B01-C032,output/first_edition_review_crops_clean/B02-C225__Fossil__40_62__Omastar.jpg,1st Edition,Pokemon Omastar 40/62 Fossil 1st Edition MP,0.73,1.27,1.72,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Omastar 40/62 Fossil 1st Edition LP/MP Vintage WOTC,"Omastar 40/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || Omastar 40/62 - Pokemon Fossil || 1999 - Pokemon TCG - Fossil Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || Omastar 40/62 Uncommon Fossil Pokemon Near Mint || Omastar 40/62 Fossil 1st Edition Uncommon - NM || Omastar 40/62 - Pokemon Fossil 1 || Pokémon TCG Omastar Fossil 40/62 Regular Unlimited Uncommon || Omastar 40/62 Pokemon Card Fossil Uncommon 70 HP LP || Pokemon Omastar 40/62 Common (MP) || Pokemon TCG Fossil #40/62 Omastar,0.73 | 0.95 | 0.99 | 1.09 | 1.25 | 1.26 | 1.50 | 1.50 | 1.70 | 1.72
B01-C008,cards/binder_1/card_8_front.jpg,cards/binder_1/card_8_back.jpg,53/62,Psyduck,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6759,B01-C032,output/first_edition_review_crops_clean/B01-C008__Fossil__53_62__Psyduck.jpg,1st Edition,Pokemon Psyduck 53/62 Fossil 1st Edition MP,0.73,1.48,2.15,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Psyduck 53/62 Fossil 1st Edition LP/MP Vintage WOTC,"Psyduck 53/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || Pokemon Psyduck (53/65) Fossil MP || Psyduck 53/62 Fossil Regular WOTC MP || PSYDUCK - 53/62 - FOSSIL - - MP || Pokémon TCG Psyduck Fossil 1st Edition 53/62 Basic 50 HP Common Regular English || Pokemon TCG Psyduck Fossil Common 53/62 Unlimited || Pokemon TCG Psyduck Fossil Common 53/62 Unlimited || Pokémon Psyduck Fossil 1st Edition Common Regular 53/62 50 HP Basic Card || Psyduck 53/62 Fossil Pokemon Unlimited Lightly Played || Psyduck ~ 1st Edition Fossil Set 53/62 Pokémon TCG 🦆,0.73 | 0.99 | 0.99 | 1.25 | 1.25 | 1.71 | 1.71 | 1.99 | 1.99 | 2.15
B01-C025,cards/binder_1/card_25_front.jpg,cards/binder_1/card_25_back.jpg,53/62,Psyduck,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6591,B01-C032,output/first_edition_review_crops_clean/B01-C025__Fossil__53_62__Psyduck.jpg,1st Edition,Pokemon Psyduck 53/62 Fossil 1st Edition MP,0.73,1.61,2.56,1.61,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Psyduck 53/62 Fossil 1st Edition LP/MP Vintage WOTC,"Psyduck 53/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || Psyduck Unlimited Common Fossil 53/62 LP || Psyduck 53/62 Fossil Regular || Pokemon Psyduck (53/65) Fossil MP || Psyduck 53/62 Pokemon Common Fossil Card LP || Psyduck Common Fossil 53/62 DMG || Pokemon Psyduck 53/62 Fossil Set (1999) - NM || Psyduck - 53/62 - Common - Unlimited Edition Heavily Played Fossil || Psyduck - 53/62 - Common - 1st Edition - Fossil #53 Pokemon TCG EN || Psyduck Common Fossil 53/62 MP,0.73 | 0.73 | 0.95 | 0.99 | 1.49 | 1.69 | 2.20 | 2.26 | 2.50 | 2.56
B02-C180,cards/binder_2/card_180_front.jpg,cards/binder_2/card_180_back.jpg,55/62,Slowpoke,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.5876,B01-C110,output/first_edition_review_crops_clean/B02-C180__Fossil__55_62__Slowpoke.jpg,1st Edition,Pokemon Slowpoke 55/62 Fossil 1st Edition MP,0.73,1.46,2.49,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Slowpoke 55/62 Fossil 1st Edition LP/MP Vintage WOTC,"Slowpoke 55/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || Fossil - Slowpoke 55/62 Pokemon Vintage WOTC English MP || Pokemon - Slowpoke 1st Edition Fossil 55/62 WOTC || Pokemon TCG Slowpoke Fossil Common 55/62 Unlimited || Pokémon TCG Slowpoke 55/62 Fossil 1st Edition Basic 50 HP Common Regular English || SLOWPOKE - 55/62 - Fossil - Pokemon Card -BC || Slowpoke 55/62 Common Fossil Pokemon Unlimited NM/M || Slowpoke 55/62 Fossil Regular MP || 1999 POKEMON FOSSIL 1ST EDITION SLOWPOKE #55/62 || 1999 POKEMON FOSSIL 1ST EDITION SLOWPOKE #55/62,0.73 | 0.99 | 0.99 | 1.00 | 1.00 | 1.00 | 1.95 | 1.99 | 2.49 | 2.49
B01-C110,cards/binder_1/card_110_front.jpg,cards/binder_1/card_110_back.jpg,52/64,Exeggcute,Jungle,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,1.0000,B01-C110,output/first_edition_review_crops_clean/B01-C110__Jungle__52_64__Exeggcute.jpg,1st Edition,Pokemon Exeggcute 52/64 Jungle 1st Edition MP,0.73,1.21,1.90,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Exeggcute 52/64 Jungle 1st Edition LP/MP Vintage WOTC,"Exeggcute 52/64 from Jungle.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.","Pokemon TCG  - Jungle 1st ed. (1999) Pick Your Card, Complete Your Set NM-HP || Pokemon TCG Jungle Set: Choose Your Card! LP to HP || Pokémon Jungle Set 1st Edition Regular Finish Exeggcute 52/64 - Pokemon || 1999 - Pokemon TCG - Jungle Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || 1st Edition Pokemon Exeggcute 52/64 Jungle Regular || Exeggcute 52/64 Jungle Pokemon - LP || Exeggcute 52/64 Jungle 1st Edition HP || Exeggcute 52/64 Jungle 1st Edition Pokemon Card || Exeggcute 52/64 Jungle Regular 1st Edition  NM || 6 x Exeggcute 52/64 - Pokemon Jungle",0.73 | 0.99 | 0.99 | 0.99 | 1.00 | 1.10 | 1.29 | 1.45 | 1.65 | 1.90
